pattern_id,Split_0,Split_1,Split_2,Split_3,Split_4
0,test,train,train,train,train
1,train,train,train,train,test
2,train,test,train,train,train
3,test,train,train,train,train
4,train,train,test,train,train
5,train,train,test,train,train
6,train,train,train,test,train
7,train,train,test,train,train
8,train,train,train,test,train
9,test,train,train,train,train
10,train,test,train,train,train
11,train,test,train,train,train
12,train,test,train,train,train
13,train,train,train,test,train
14,train,train,train,test,train
15,train,train,train,test,train
16,test,train,train,train,train
17,train,train,train,train,test
18,train,test,train,train,train
19,train,train,train,test,train
20,train,train,train,test,train
21,train,train,test,train,train
22,train,train,test,train,train
23,train,train,train,test,train
24,train,test,train,train,train
25,train,train,train,train,test
26,train,train,train,train,test
27,test,train,train,train,train
28,train,train,train,train,test
29,train,train,train,train,test
30,test,train,train,train,train
31,train,train,test,train,train
32,train,train,train,train,test
33,train,train,test,train,train
34,test,train,train,train,train
35,train,train,train,train,test
36,train,test,train,train,train
37,train,train,test,train,train
38,train,train,test,train,train
39,test,train,train,train,train
40,train,train,test,train,train
41,test,train,train,train,train
42,train,train,train,test,train
43,train,train,train,train,test
44,train,train,train,test,train
45,train,test,train,train,train
46,train,test,train,train,train
47,train,test,train,train,train
48,test,train,train,train,train
49,train,train,train,train,test
50,train,train,train,train,test
51,train,train,train,test,train
52,test,train,train,train,train
53,test,train,train,train,train
54,train,train,test,train,train
55,train,test,train,train,train
56,test,train,train,train,train
57,train,train,train,train,test
58,train,train,train,test,train
59,test,train,train,train,train
60,train,train,test,train,train
61,test,train,train,train,train
62,train,test,train,train,train
63,train,train,test,train,train
64,train,train,train,test,train
65,test,train,train,train,train
66,test,train,train,train,train
67,train,train,train,train,test
68,train,test,train,train,train
69,train,test,train,train,train
70,test,train,train,train,train
71,test,train,train,train,train
72,train,train,train,train,test
73,train,train,train,test,train
74,train,train,test,train,train
75,train,train,test,train,train
76,train,train,test,train,train
77,train,train,train,test,train
78,train,train,train,train,test
79,train,train,train,test,train
80,train,train,train,train,test
81,train,train,train,test,train
82,train,test,train,train,train
83,train,test,train,train,train
84,test,train,train,train,train
85,train,train,test,train,train
86,train,train,test,train,train
87,train,train,test,train,train
88,train,train,train,test,train
89,train,test,train,train,train
90,train,train,train,test,train
91,train,train,train,train,test
92,train,train,train,train,test
93,train,train,test,train,train
94,train,train,train,train,test
95,train,test,train,train,train
96,train,test,train,train,train
97,train,train,train,test,train
98,train,train,train,train,test
99,train,test,train,train,train
100,train,train,train,test,train
101,train,train,train,train,test
102,test,train,train,train,train
103,train,train,train,test,train
104,train,train,train,test,train
105,test,train,train,train,train
106,test,train,train,train,train
107,train,train,train,train,test
108,train,test,train,train,train
109,train,train,train,train,test
110,train,train,test,train,train
111,test,train,train,train,train
112,train,test,train,train,train
113,train,test,train,train,train
114,train,train,test,train,train
115,train,train,train,train,test
116,test,train,train,train,train
117,test,train,train,train,train
118,train,train,train,train,test
119,train,test,train,train,train
120,train,train,train,train,test
121,test,train,train,train,train
122,train,train,test,train,train
123,train,train,train,test,train
124,train,test,train,train,train
125,train,train,test,train,train
126,test,train,train,train,train
127,train,train,train,train,test
128,train,train,train,test,train
129,train,train,train,test,train
130,test,train,train,train,train
131,train,train,train,test,train
132,train,test,train,train,train
133,train,train,train,test,train
134,train,test,train,train,train
135,train,test,train,train,train
136,train,test,train,train,train
137,train,train,train,train,test
138,train,train,test,train,train
139,train,test,train,train,train
140,train,train,train,test,train
141,train,train,test,train,train
142,train,train,train,train,test
143,train,train,train,train,test
144,train,train,test,train,train
145,test,train,train,train,train
146,train,train,test,train,train
147,train,train,test,train,train
148,train,train,train,test,train
149,train,train,test,train,train
